script_path,quality_label,risk_label,oracle_version,test_evidence
asm_storage/asm_limits_ausize.sql,reviewed,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_Alias.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_Check.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_Clients.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_DiskGroupPerformance.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_Diskgroups.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_Disks.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_Disks_Perf.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_Files.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_Templates.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asm_drop_files.sql,community,ALTO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/Asmdisk.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/asm-diskgroup-stat.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/asm_copyblock.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/asm_disk_errors.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/asm_disk_stats.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/asm_diskgroup_attributes.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/asm_diskgroup_templates.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
asm_storage/asm_diskgroups.sql,community,BASSO,"19c,21c,23ai,26c",reliability/evidence/script_certification_2026Q2.md
